channel,source,detector,grid_row,grid_col,mid_x_mm,mid_y_mm,mid_z_mm
S1_D1,S1,D1,0,2,-21.311,86.156,-1.894
S1_D3,S1,D3,1,1,-40.135,75.547,1.152
S2_D2,S2,D2,0,4,21.325,86.131,-1.692
S2_D1,S2,D1,0,3,0.037,87.117,10.408
S2_D5,S2,D5,1,4,24.279,79.317,23.502
S3_D1,S3,D1,1,2,-24.515,79.196,23.381
S3_D3,S3,D3,2,1,-43.340,68.588,26.426
S3_D4,S3,D4,2,2,-24.249,72.869,42.252
S3_D6,S3,D6,3,1,-41.291,57.120,47.465
S4_D4,S4,D4,2,3,-0.187,74.514,48.151
S4_D5,S4,D5,2,4,23.789,73.042,42.374
S4_D7,S4,D7,3,4,14.525,60.569,62.006
S5_D2,S5,D2,1,5,39.848,75.744,1.571
S5_D5,S5,D5,2,5,42.803,68.930,26.764
S5_D8,S5,D8,3,6,58.088,52.561,24.143
S6_D3,S6,D3,3,0,-58.733,51.846,23.688
S6_D6,S6,D6,4,1,-56.684,40.377,44.725
S7_D4,S7,D4,3,2,-15.116,60.402,61.953
S7_D6,S7,D6,4,2,-32.157,44.653,67.166
S7_D7,S7,D7,4,3,-0.403,46.457,75.808
S8_D5,S8,D5,3,5,40.563,57.605,47.709
S8_D7,S8,D7,4,4,31.300,45.132,67.341
S8_D8,S8,D8,4,5,55.849,41.236,45.089
