arch,hb,regime,mt,sub,top1,top2,top3
sg,,kfold-10,2,attention,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-10,2,captum_ig,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-10,2,gnn,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-10,4,attention,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-10,4,captum_ig,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-10,4,gnn,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-5,2,attention,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-5,2,captum_ig,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-5,2,gnn,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-5,4,attention,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-5,4,captum_ig,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,kfold-5,4,gnn,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,loso,2,attention,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,loso,2,captum_ig,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,loso,2,gnn,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,loso,4,attention,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,loso,4,captum_ig,BA8 (L+R),BA9 (L+R),BA10 (L+R)
sg,,loso,4,gnn,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-10,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-10,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-10,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-10,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-5,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-5,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-5,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,kfold-5,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,loso,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,loso,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,loso,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbo,loso,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-10,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-10,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-10,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-10,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-5,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-5,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-5,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,kfold-5,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,loso,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,loso,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,loso,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbr,loso,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-10,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-10,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-10,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-10,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-5,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-5,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-5,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,kfold-5,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,loso,2,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,loso,2,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,loso,4,native,BA8 (L+R),BA9 (L+R),BA10 (L+R)
st,hbt,loso,4,supplementary,BA8 (L+R),BA9 (L+R),BA10 (L+R)
