channel,x_mni_mm,y_mni_mm,z_mni_mm,projected_vertex_id,hemi,projection_distance_mm,sd_distance_mm
S1_D1,-19.43550806,80.17175796,10.49866922,131504,L,13.95498144,29.31521808
S1_D3,-38.28267605,69.72487842,13.93530360,99259,L,14.50800369,42.28822794
S2_D2,23.19959723,80.03309451,10.61355482,184340,R,14.99070058,28.93175415
S2_D1,1.94100956,81.48276752,22.71717681,248342,R,17.00017628,26.85601432
S2_D5,26.18948545,74.05696303,36.01407691,241252,R,20.03669877,37.35531205
S3_D1,-22.60480924,74.06991802,35.99871167,145700,L,19.09132421,37.69049139
S3_D3,-41.45197723,63.62303848,39.43534605,128807,L,22.49538727,25.70195444
S3_D4,-22.31567410,68.37634912,55.06955667,65540,L,24.36248524,25.84687347
S3_D6,-39.38990504,52.85874089,60.84063922,109463,L,25.91150760,37.69653911
S4_D4,1.76343124,70.14931187,60.86070156,286891,R,25.40809740,25.34412508
S4_D5,25.72277198,68.41707627,55.08675665,206674,R,25.29190677,25.57575117
S4_D7,16.46710478,56.63294257,75.14374735,174439,R,27.92553229,39.57116574
S5_D2,41.70127942,69.70842718,14.18325060,270093,R,15.04687911,41.88172470
S5_D5,44.69116764,63.73229569,39.58377269,208057,R,22.12654559,25.51310373
S5_D8,59.92565382,47.24107636,37.48040000,316040,R,18.85240178,34.57663704
S6_D3,-56.89758944,46.84208528,37.28920009,35048,L,18.06274714,35.14837268
S6_D6,-54.83551725,36.07778769,58.69449326,119258,L,22.47331842,34.25019876
S7_D4,-13.17428777,56.54883732,75.15739709,152395,L,27.81552844,39.69167274
S7_D6,-30.24851871,41.03122908,80.92847964,2139,L,28.40413042,34.37074294
S7_D7,1.52938577,43.03246802,89.44044288,220470,R,32.65869328,33.93907732
S8_D5,42.46546113,53.11948898,60.90068722,196925,R,27.76846502,37.28377107
S8_D7,33.20979392,41.33535528,80.95767792,175960,R,29.76155059,34.15443812
S8_D8,57.69994730,36.62826965,58.79731453,316310,R,24.04278589,34.12505317
