regime,mt,hb,sg_estimator,st_path,rho_channel_rank,jaccard_top5,jaccard_top10,rho_pair_offdiag,n_sg_subjects,n_sg_trials,n_st_subjects,n_st_trials
kfold-5,2,hbo,gnn,native,0.167984,0.111111,0.333333,0.391430,52,88,52,93
kfold-5,2,hbr,gnn,native,-0.088933,0.111111,0.250000,0.261117,52,88,50,92
kfold-5,2,hbt,gnn,native,-0.019763,0.111111,0.333333,0.374211,52,88,54,96
kfold-5,4,hbo,gnn,native,-0.175889,0.111111,0.333333,0.251462,46,149,56,182
kfold-5,4,hbr,gnn,native,-0.094862,0.111111,0.333333,0.211666,46,149,54,172
kfold-5,4,hbt,gnn,native,-0.018775,0.111111,0.333333,0.303442,46,149,56,177
kfold-10,2,hbo,gnn,native,0.089921,0.250000,0.250000,0.352102,56,97,54,95
kfold-10,2,hbr,gnn,native,0.134387,0.250000,0.250000,0.309470,56,97,54,95
kfold-10,2,hbt,gnn,native,0.007905,0.111111,0.176471,0.324547,56,97,53,96
kfold-10,4,hbo,gnn,native,-0.284585,0.250000,0.333333,0.254636,52,162,55,186
kfold-10,4,hbr,gnn,native,-0.344862,0.000000,0.250000,0.212414,52,162,57,183
kfold-10,4,hbt,gnn,native,-0.078063,0.250000,0.333333,0.230083,52,162,55,184
loso,2,hbo,gnn,native,0.060277,0.111111,0.428571,0.442901,49,88,52,98
loso,2,hbr,gnn,native,0.066206,0.111111,0.428571,0.471724,49,88,55,102
loso,2,hbt,gnn,native,0.111660,0.111111,0.538462,0.445584,49,88,51,97
loso,4,hbo,gnn,native,-0.166008,0.000000,0.250000,0.425129,47,163,54,191
loso,4,hbr,gnn,native,-0.241107,0.000000,0.250000,0.497349,47,163,59,202
loso,4,hbt,gnn,native,-0.215415,0.000000,0.250000,0.488642,47,163,57,187
