channel_i,channel_j,mean,std,n_trials,rank
S6_D3,S7_D7,0.04639376,0.00510879,183,1
S2_D5,S7_D7,0.04630790,0.00581414,183,2
S1_D1,S2_D2,0.04617992,0.00878996,183,3
S1_D3,S2_D2,0.04606404,0.00558667,183,4
S5_D2,S5_D5,0.04598413,0.00761277,183,5
S8_D5,S8_D7,0.04591935,0.00579884,183,6
S3_D3,S3_D4,0.04570691,0.00623179,183,7
S3_D1,S3_D6,0.04566931,0.00462717,183,8
S4_D7,S8_D7,0.04563578,0.00488471,183,9
S7_D7,S8_D7,0.04561967,0.00709399,183,10
S5_D5,S5_D8,0.04559201,0.00569161,183,11
S7_D4,S7_D6,0.04543443,0.00631172,183,12
S3_D3,S6_D3,0.04537724,0.00661087,183,13
S2_D5,S7_D6,0.04536633,0.00599496,183,14
S1_D3,S5_D2,0.04529671,0.00600566,183,15
S7_D6,S7_D7,0.04526751,0.00649526,183,16
S5_D2,S8_D5,0.04525658,0.00726044,183,17
S2_D2,S2_D5,0.04523924,0.00644841,183,18
S3_D3,S7_D6,0.04522615,0.00589489,183,19
S4_D7,S7_D7,0.04522089,0.00467726,183,20
S4_D4,S8_D5,0.04521497,0.00488970,183,21
S2_D5,S3_D1,0.04519054,0.00594133,183,22
S2_D2,S3_D1,0.04518557,0.00505808,183,23
S6_D6,S8_D8,0.04514129,0.00567774,183,24
S5_D5,S7_D6,0.04512988,0.00634283,183,25
S7_D4,S8_D7,0.04508739,0.00637402,183,26
S4_D7,S5_D8,0.04507184,0.00817045,183,27
S7_D4,S8_D8,0.04506528,0.00550762,183,28
S8_D7,S8_D8,0.04505941,0.00628789,183,29
S1_D3,S3_D1,0.04502245,0.00819958,183,30
S3_D3,S6_D6,0.04498303,0.00800466,183,31
S3_D6,S6_D6,0.04496421,0.00598168,183,32
S2_D2,S5_D5,0.04496337,0.00598193,183,33
S4_D7,S8_D5,0.04481677,0.00596148,183,34
S5_D8,S8_D8,0.04480072,0.00521993,183,35
S1_D3,S2_D5,0.04476093,0.00447127,183,36
S3_D3,S3_D6,0.04470490,0.00765606,183,37
S7_D6,S8_D5,0.04468571,0.00751991,183,38
S5_D5,S8_D8,0.04466902,0.00489337,183,39
S2_D2,S2_D1,0.04466218,0.00539092,183,40
S3_D6,S7_D6,0.04458337,0.00607031,183,41
S5_D5,S8_D5,0.04457545,0.00575706,183,42
S5_D2,S7_D4,0.04455427,0.00745951,183,43
S4_D7,S7_D4,0.04454039,0.00542528,183,44
S3_D4,S3_D6,0.04451088,0.00605837,183,45
S3_D1,S4_D4,0.04450704,0.00623138,183,46
S5_D5,S7_D7,0.04450578,0.00684844,183,47
S5_D8,S8_D7,0.04447627,0.00652635,183,48
S2_D1,S5_D2,0.04446881,0.00678865,183,49
S7_D4,S8_D5,0.04446042,0.00706098,183,50
