channel,mean,std,n_trials,n_subjects,rank
S1_D1,1.00420737,0.06133879,96,54,11
S1_D3,0.99730331,0.05636796,96,54,15
S2_D2,1.00325596,0.05624487,96,54,13
S2_D1,0.98765004,0.09278618,96,54,20
S2_D5,1.00230587,0.04949462,96,54,14
S3_D1,1.00592184,0.04497450,96,54,8
S3_D3,1.01478708,0.04335514,96,54,2
S3_D4,0.99332356,0.05300963,96,54,17
S3_D6,0.99399596,0.04540538,96,54,16
S4_D4,1.01727009,0.04222561,96,54,1
S4_D5,0.99195713,0.06730312,96,54,18
S4_D7,1.00454068,0.06188537,96,54,10
S5_D2,0.99136209,0.06474672,96,54,19
S5_D5,1.01141453,0.04687815,96,54,3
S5_D8,0.98188818,0.07935720,96,54,21
S6_D3,0.98163921,0.06756786,96,54,22
S6_D6,0.97532648,0.07554357,96,54,23
S7_D4,1.00774944,0.05181868,96,54,6
S7_D6,1.00806069,0.04358106,96,54,5
S7_D7,1.00755930,0.05775197,96,54,7
S8_D5,1.00962353,0.05021998,96,54,4
S8_D7,1.00497830,0.07149886,96,54,9
S8_D8,1.00387943,0.06899375,96,54,12
