channel,beta_group,se,ci_lo,ci_hi,p_group_adj,partial_eta2_group,p_age,r2_full,p_fdr_adj,sig_raw_adj,sig_fdr_adj,d_full,p_raw_full,p_fdr_full,d_elig,p_raw_elig,p_fdr_elig
S1_D1,-0.041473,0.021886,-0.085501,0.002555,0.064253,0.070981,0.659909,0.136380,0.155246,False,False,-0.812918,0.002420,0.013913,-0.714451,0.021661,0.069052
S1_D3,-0.014396,0.015751,-0.046083,0.017290,0.365376,0.017464,0.998776,0.167577,0.466870,False,False,-0.321039,0.184790,0.303584,-0.442800,0.131594,0.251211
S2_D2,-0.008448,0.014427,-0.037472,0.020577,0.560994,0.007242,0.263985,0.184899,0.586494,False,False,-0.550595,0.022284,0.064067,-0.645400,0.024018,0.069052
S2_D1,-0.032521,0.015008,-0.062713,-0.002329,0.035342,0.090831,0.490358,0.135486,0.145353,True,False,-0.924771,0.001297,0.013913,-0.745253,0.020560,0.069052
S2_D5,-0.029008,0.015572,-0.060335,0.002318,0.068735,0.068760,0.524634,0.201119,0.155246,False,False,-0.526288,0.022284,0.064067,-0.638298,0.020560,0.069052
S3_D1,-0.038376,0.015901,-0.070364,-0.006389,0.019749,0.110272,0.320280,0.281797,0.113559,True,False,-0.557757,0.029808,0.076177,-0.742839,0.016629,0.069052
S3_D3,-0.013830,0.014844,-0.043693,0.016032,0.356257,0.018134,0.597168,0.127101,0.466870,False,False,-0.765163,0.002309,0.013913,-0.609548,0.019508,0.069052
S3_D4,-0.033716,0.018467,-0.070867,0.003435,0.074248,0.066224,0.818960,0.130668,0.155246,False,False,-0.642884,0.011103,0.051075,-0.749909,0.008505,0.069052
S3_D6,-0.011847,0.016731,-0.045506,0.021812,0.482405,0.010554,0.488598,0.030093,0.554765,False,False,-0.006184,0.810458,0.847297,-0.108457,0.643225,0.702264
S4_D4,-0.019110,0.013431,-0.046131,0.007910,0.161398,0.041293,0.200508,0.118494,0.285551,False,False,-0.218345,0.271149,0.383732,-0.244431,0.225440,0.335043
S4_D5,-0.005690,0.019689,-0.045299,0.033919,0.773861,0.001774,0.221293,0.095697,0.773861,False,False,-0.659934,0.014097,0.054038,-0.533260,0.099801,0.229542
S4_D7,-0.041163,0.016578,-0.074515,-0.007812,0.016656,0.115961,0.045380,0.189748,0.113559,True,False,-0.388907,0.134799,0.238490,-0.445200,0.141989,0.251211
S5_D2,-0.008499,0.014270,-0.037206,0.020208,0.554300,0.007491,0.822618,0.211095,0.586494,False,False,-0.498766,0.048255,0.110987,-0.381337,0.131594,0.251211
S5_D5,-0.048212,0.014936,-0.078260,-0.018164,0.002275,0.181457,0.158757,0.219249,0.052336,True,False,-0.919133,0.000870,0.013913,-0.956118,0.002825,0.064983
S5_D8,-0.038500,0.018024,-0.074761,-0.002240,0.037918,0.088485,0.239675,0.117273,0.145353,True,False,-0.519436,0.053262,0.111366,-0.570230,0.077718,0.198613
S6_D3,-0.018035,0.015878,-0.049978,0.013908,0.261784,0.026716,0.745653,0.041368,0.430073,False,False,-0.286331,0.283628,0.383732,-0.382026,0.233073,0.335043
S6_D6,-0.021016,0.020125,-0.061502,0.019469,0.301686,0.022677,0.218443,0.036720,0.462585,False,False,0.009210,0.810458,0.847297,-0.066017,0.976413,0.976413
S7_D4,-0.042456,0.020625,-0.083948,-0.000964,0.045111,0.082701,0.018808,0.166701,0.148220,True,False,0.033139,0.876673,0.876673,-0.151036,0.587793,0.675962
S7_D6,-0.016186,0.021697,-0.059834,0.027462,0.459361,0.011703,0.260652,0.064360,0.554765,False,False,0.059534,0.672121,0.772939,0.004427,0.671731,0.702264
S7_D7,-0.017506,0.018873,-0.055473,0.020461,0.358371,0.017977,0.295020,0.073453,0.466870,False,False,-0.138506,0.446161,0.560696,-0.102796,0.547728,0.675962
S8_D5,-0.043909,0.016127,-0.076353,-0.011466,0.009057,0.136237,0.027027,0.210753,0.104157,True,False,-0.330724,0.259051,0.383732,-0.471110,0.217986,0.335043
S8_D7,-0.037695,0.019470,-0.076863,0.001473,0.058882,0.073864,0.067419,0.177253,0.155246,False,False,-0.266997,0.463184,0.560696,-0.282855,0.574289,0.675962
S8_D8,-0.035814,0.022237,-0.080550,0.008922,0.113976,0.052302,0.212518,0.109715,0.218454,False,False,-0.418694,0.107768,0.206555,-0.330445,0.349147,0.472376
