channel,mean_hc_beta,std_hc_beta,mean_gad_beta,std_gad_beta,d,U,p_raw,p_fdr,sig_raw,sig_fdr,task
S1_D1,0.247149,0.299969,0.013834,0.365822,-0.702059,640.000000,0.023124,0.074204,True,False,GNG
S1_D3,0.197518,0.320274,0.110385,0.287645,-0.285231,549.000000,0.323369,0.338068,False,False,GNG
S2_D2,0.204574,0.437549,0.083751,0.362611,-0.298839,576.000000,0.171164,0.243748,False,False,GNG
S2_D1,0.249949,0.306816,-0.001123,0.340586,-0.777275,669.000000,0.007351,0.056357,True,False,GNG
S2_D5,0.243333,0.341918,0.089829,0.256777,-0.503035,601.000000,0.085220,0.196005,False,False,GNG
S3_D1,0.174213,0.357060,0.123987,0.305929,-0.150300,521.000000,0.553493,0.553493,False,False,GNG
S3_D3,0.185349,0.352669,0.046935,0.322778,-0.408242,584.000000,0.138517,0.227564,False,False,GNG
S3_D4,0.167125,0.385038,0.069500,0.243395,-0.298846,561.000000,0.247332,0.284432,False,False,GNG
S3_D6,0.162653,0.324053,0.038080,0.255111,-0.423863,592.000000,0.110891,0.227564,False,False,GNG
S4_D4,0.240323,0.335504,0.144637,0.266282,-0.313557,557.000000,0.271149,0.296972,False,False,GNG
S4_D5,0.184305,0.298387,-0.053329,0.225746,-0.890155,685.000000,0.003658,0.048120,True,True,GNG
S4_D7,0.191136,0.330542,-0.017748,0.232325,-0.723049,682.000000,0.004184,0.048120,True,True,GNG
S5_D2,0.302184,0.347560,0.195469,0.312262,-0.321863,576.000000,0.171164,0.243748,False,False,GNG
S5_D5,0.193695,0.359893,-0.025526,0.291106,-0.665145,648.000000,0.017114,0.065604,True,False,GNG
S5_D8,0.164589,0.350331,0.050510,0.260826,-0.365901,565.000000,0.225021,0.272394,False,False,GNG
S6_D3,0.180198,0.344673,0.056668,0.283605,-0.388899,585.000000,0.134799,0.227564,False,False,GNG
S6_D6,0.164924,0.341706,0.049029,0.248002,-0.384238,574.000000,0.180162,0.243748,False,False,GNG
S7_D4,0.191669,0.318887,0.091726,0.296237,-0.323937,565.000000,0.225021,0.272394,False,False,GNG
S7_D6,0.166464,0.307184,0.005865,0.212191,-0.601287,612.000000,0.060606,0.154882,False,False,GNG
S7_D7,0.226609,0.282170,0.076930,0.236185,-0.571908,657.000000,0.012032,0.065604,True,False,GNG
S8_D5,0.234416,0.366736,0.042299,0.263854,-0.595101,648.000000,0.017114,0.065604,True,False,GNG
S8_D7,0.232578,0.322560,0.052606,0.236576,-0.629996,637.000000,0.025810,0.074204,True,False,GNG
S8_D8,0.195959,0.297719,0.089875,0.275254,-0.369047,589.000000,0.120692,0.227564,False,False,GNG
