channel,n_clusters_total,n_clusters_sig,first_cluster_p,first_cluster_t_lo,first_cluster_t_hi
S1_D1,3,0,0.076000,,
S1_D3,0,0,,,
S2_D2,1,0,0.357000,,
S2_D1,3,2,0.038000,0.000000,4.718592
S2_D5,2,1,0.024000,24.870912,31.948800
S3_D1,2,0,0.131000,,
S3_D3,1,0,0.188000,,
S3_D4,1,0,0.251000,,
S3_D6,2,0,0.273000,,
S4_D4,4,1,0.033000,24.379392,29.687808
S4_D5,5,2,0.009000,0.000000,5.701632
S4_D7,6,2,0.035000,0.000000,4.718592
S5_D2,2,1,0.029000,24.182784,31.064064
S5_D5,2,2,0.031000,0.000000,6.586368
S5_D8,4,0,0.070000,,
S6_D3,2,0,0.215000,,
S6_D6,2,0,0.307000,,
S7_D4,2,0,0.320000,,
S7_D6,3,1,0.019000,23.592960,30.670848
S7_D7,2,0,0.062000,,
S8_D5,1,0,0.080000,,
S8_D7,2,1,0.045000,0.000000,5.406720
S8_D8,0,0,,,
